data_set_T,data_set_CAD,data_set_CD,data_set_GKQ,data_set_HS,data_set_ICA,data_set_IKATP,data_set_IKCA,data_set_INA,data_set_NS,data_set_QD,data_set_SD,data_set_VD,data_set_VS
0.0,0.0,0.0,0.0,0.0,-0.0,0.71142936,0.0,-0.0,0.0,0.0,0.0,-60.0,-60.0
20.0,0.038599521,0.011167847,6.814706e-06,0.99375999,-0.030915497,0.74816173,0.00053693826,-0.61144477,0.0013942295,8.5183829e-06,0.014890514,-59.430202,-59.225525
40.0,0.052762069,0.011711974,2.1525166e-05,0.99434036,-0.033870123,0.77329844,0.00079538219,-0.75436866,0.0015544199,2.6906459e-05,0.015614942,-58.91082,-58.695534
60.0,0.059303913,0.012126822,3.8985687e-05,0.99400097,-0.036199681,0.79178429,0.00094753708,-0.8785612,0.0016815837,4.8732109e-05,0.016165137,-58.53067,-58.305771
80.0,0.063686445,0.012479383,5.7740319e-05,0.99331123,-0.03823686,0.80718309,0.0010672024,-0.9962095,0.0017931346,7.2175404e-05,0.016632719,-58.215179,-57.981098
100.0,0.067348145,0.012820126,7.7376397e-05,0.99278724,-0.04024452,0.82170951,0.0011798334,-1.1209052,0.00190325,9.6720498e-05,0.017082101,-57.919022,-57.67482
120.0,0.071063392,0.013197174,9.7773904e-05,0.99215275,-0.042517658,0.83749968,0.0013055739,-1.2730587,0.0020279763,0.00012221739,0.017578332,-57.598587,-57.341896
140.0,0.075491413,0.01368776,0.0001190367,0.99102014,-0.045552365,0.85767245,0.0014721113,-1.49541,0.0021943257,0.00014879588,0.018221807,-57.191772,-56.916565
160.0,0.082230337,0.0145428,0.00014158837,0.98925525,-0.051007893,0.8917141,0.0017685439,-1.9556729,0.0024921154,0.00017698546,0.01932993,-56.513882,-56.198822
180.0,0.10094064,0.017966872,0.00016709534,0.98317337,-0.074560158,1.0224788,0.0030386066,-5.2477746,0.0037583022,0.00020886917,0.023583552,-54.05666,-53.441738
200.0,0.57286489,0.0075941244,0.00037102419,0.99244708,-0.014761678,0.54672182,0.0039569112,-0.10686983,0.0013099351,0.00046378022,0.010137814,-63.63063,-63.472748
220.0,0.15484396,0.0095574073,0.00046213318,0.99705005,-0.022891872,0.66675466,0.0016424254,-0.30725533,0.00096486672,0.00057766651,0.012736062,-61.127289,-60.941936
240.0,0.070068777,0.010661229,0.00048499543,0.99580979,-0.028314428,0.72425812,0.00090076926,-0.50112951,0.0012547022,0.00060624431,0.014225014,-59.927273,-59.729515
260.0,0.056831807,0.011333955,0.00049475383,0.99496549,-0.031886268,0.75666201,0.00081133039,-0.65727103,0.0014472776,0.00061844231,0.015131989,-59.255283,-59.046303
280.0,0.057843339,0.01180301,0.00050298561,0.99431843,-0.034478121,0.77819574,0.00088421983,-0.78558928,0.0015880606,0.00062873197,0.01576014,-58.810848,-58.592278
300.0,0.061098699,0.012210814,0.00051184598,0.99377459,-0.036554091,0.79447728,0.0009862252,-0.89804035,0.0017015903,0.00063980743,0.016247271,-58.476215,-58.248993
320.0,0.064404726,0.01263251,0.00052158511,0.99328679,-0.038399037,0.80833197,0.0010939529,-1.0055891,0.0018027825,0.00065198139,0.016669318,-58.19257,-57.956875
340.0,0.067596227,0.012947579,0.00053215603,0.99278831,-0.040229738,0.82157475,0.0011957026,-1.1196789,0.0019033906,0.00066519505,0.017078744,-57.922585,-57.677662
360.0,0.070925653,0.013249486,0.00054354029,0.99222636,-0.042284023,0.83586711,0.0013056531,-1.2564765,0.0020160857,0.00067942531,0.017527806,-57.632572,-57.376316
380.0,0.074905545,0.013270655,0.00055583753,0.99147594,-0.044983994,0.8538872,0.0014100198,-1.4514364,0.0021641681,0.00069479691,0.018102665,-57.269176,-56.996376
400.0,0.080725238,0.014490009,0.00056939345,0.99019539,-0.049503721,0.88249153,0.001712683,-1.820195,0.0024118726,0.00071174186,0.01902999,-56.697559,-56.393272
420.0,0.093586639,0.016368186,0.00058534287,0.98638725,-0.063029468,0.96024179,0.0024273091,-3.3120105,0.0031435913,0.00073167862,0.021592099,-55.192909,-54.753963
440.0,0.81209838,0.0072078668,0.00073613937,0.95624661,-0.014143273,0.51249194,0.0050457581,-0.075835839,0.0068957452,0.00092017418,0.0099027278,-64.224907,-64.194458
460.0,0.20560025,0.0091647683,0.00085858587,0.99733514,-0.021114884,0.64514077,0.0020228312,-0.25500205,0.00088230567,0.0010732324,0.012212148,-61.580864,-61.397652
480.0,0.079529449,0.010432565,0.00088147656,0.99608445,-0.02712195,0.71251786,0.00098418829,-0.45385632,0.0011921889,0.0011018458,0.013910064,-60.172459,-59.977051
500.0,0.057540793,0.011181551,0.00088466081,0.99516457,-0.030992668,0.74882603,0.00080202182,-0.61572379,0.0013997784,0.001105826,0.01490973,-59.418175,-59.211517
520.0,0.056853116,0.011678609,0.00088506885,0.9944725,-0.033693906,0.77186137,0.00085295847,-0.74552816,0.0015468893,0.001106336,0.015572523,-58.941959,-58.725834
540.0,0.059829701,0.012045431,0.0008859915,0.99393755,-0.035786107,0.78855419,0.0009456168,-0.85543787,0.0016610253,0.0011074893,0.016068602,-58.598408,-58.373875
560.0,0.063038893,0.012378328,0.00088789302,0.99352497,-0.037560456,0.80210876,0.0010412103,-0.95586896,0.0017570034,0.0011098662,0.016478658,-58.320698,-58.088089
580.0,0.066070907,0.012641657,0.00089074759,0.99287343,-0.039230853,0.81447595,0.0011314193,-1.056885,0.0018511434,0.0011134344,0.016856525,-58.06757,-57.827335
600.0,0.068969205,0.012907865,0.00089447311,0.99272913,-0.040978543,0.82677096,0.0012237047,-1.1678681,0.0019443171,0.0011180914,0.017243503,-57.817871,-57.568104
620.0,0.07211908,0.013470691,0.00089908263,0.9916504,-0.042901676,0.84036952,0.0013568664,-1.3022199,0.0020523851,0.0011238533,0.017661203,-57.541492,-57.281387
640.0,0.076164685,0.013808055,0.00090470101,0.99113673,-0.045808613,0.85915858,0.0015006799,-1.5134649,0.0022111395,0.0011308762,0.018274875,-57.163406,-56.885231
660.0,0.082232654,0.014204911,0.00091176241,0.99039805,-0.050803598,0.8900786,0.0017241418,-1.9328853,0.002479743,0.0011397031,0.01928864,-56.549839,-56.233303
680.0,0.098953083,0.017400088,0.0009218413,0.9842394,-0.070309289,0.99959731,0.0028283591,-4.4393992,0.003534921,0.0011523016,0.022866482,-54.466461,-53.924179
700.0,0.63147902,0.0078399573,0.001099965,0.98838097,-0.014241785,0.53519905,0.0044116955,-0.09604463,0.0018621216,0.0013749562,0.009949713,-63.861084,-63.715694
720.0,0.16699541,0.009422984,0.0011859927,0.9971143,-0.022320449,0.66001582,0.0017284729,-0.28993845,0.00094199181,0.0014824909,0.012569759,-61.269714,-61.084019
740.0,0.072289966,0.010569393,0.0011962991,0.99591625,-0.027829317,0.71947187,0.00091514789,-0.48131096,0.0012304863,0.0014953738,0.014097544,-60.028225,-59.830429
760.0,0.056626916,0.01125651,0.0011922105,0.99505866,-0.031403936,0.75242764,0.00079835125,-0.63448924,0.0014225675,0.001490263,0.015012317,-59.344124,-59.135582
780.0,0.057063125,0.011712274,0.0011864565,0.99442369,-0.03392544,0.77370363,0.00086057396,-0.75697118,0.0015595887,0.0014830707,0.015628036,-58.904613,-58.686989
800.0,0.06002818,0.012077997,0.0011814969,0.99391544,-0.035885651,0.7893219,0.00095219794,-0.86084819,0.0016667044,0.0014768712,0.016091816,-58.583252,-58.357689
820.0,0.06309633,0.012370382,0.0011775993,0.9934752,-0.037554335,0.80206805,0.0010414153,-0.95550197,0.0017581006,0.0014719992,0.016477244,-58.321896,-58.088947
840.0,0.065967828,0.012662497,0.0011747046,0.99305642,-0.039116193,0.81357658,0.0011302321,-1.0493536,0.0018438317,0.0014683807,0.016830701,-58.086788,-57.846298
860.0,0.068756811,0.012892547,0.0011727603,0.99261427,-0.040745262,0.82516867,0.00121615,-1.1526489,0.001933437,0.0014659504,0.017192295,-57.850845,-57.601887
880.0,0.071748242,0.013196226,0.0011717675,0.99210018,-0.042625342,0.83817911,0.0013189424,-1.2799917,0.0020366465,0.0014647093,0.017601322,-57.586952,-57.327568
900.0,0.075397924,0.013629799,0.0011718384,0.99141335,-0.045127105,0.85494459,0.0014593812,-1.4636914,0.0021733586,0.0014647979,0.018132789,-57.248711,-56.974079
