Ainfs,Cm,IA,IKdr,INa,INaP,Iapp,Iz,Minfs,Pinfs,V,VK,VL,VNa,bbs,gA,gKdr,gL,gNa,gNaP,gZ,hhs,nns,phi,pms,pns,sigmaa,sigmab,sigmah,sigmam,sigman,sigmap,sigmaz,t_tauh,t_taun,tauBs,tauZs,thetaa,thetab,thetah,thetam,thetan,thetap,thetaz,zzs,Time
0.2514933576083563,1.0,0.08242574938949318,3.9767335715685876e-05,-0.007790127661775617,-0.009729401568769757,0.661914,0.025643289299999997,0.012111710349819173,0.00025574089022833225,-71.81327,-90.0,-70.0,55.0,0.203517,1.4,6.0,0.05,35.0,0.3,1.0,0.98786,0.02457,10.0,3.0,4.0,20.0,-6.0,-7.0,9.5,10.0,3.0,5.0,-40.5,-27.0,15.0,75.0,-50.0,-80.0,-45.0,-30.0,-35.0,-47.0,-39.0,0.00141,0.0
0.25155565180065903,1.0,0.08251700604185544,3.978276553214575e-05,-0.007804974178885806,-0.009750373600635624,0.661914,0.02565262314623569,0.012120048255700164,0.0002563055233706598,-71.80665210811688,-90.0,-70.0,55.0,0.20351694020709016,1.4,6.0,0.05,35.0,0.3,1.0,0.987752966633881,0.024570148080490777,10.0,3.0,4.0,20.0,-6.0,-7.0,9.5,10.0,3.0,5.0,-40.5,-27.0,15.0,75.0,-50.0,-80.0,-45.0,-30.0,-35.0,-47.0,-39.0,0.001410000143936152,0.01
0.2516179191047348,1.0,0.0826082450581944,3.979993461602513e-05,-0.007819847462853965,-0.009771378261597144,0.661914,0.025661955947207507,0.012128386857296345,0.0002568710652192701,-71.80003815995012,-90.0,-70.0,55.0,0.20351676176886122,1.4,6.0,0.05,35.0,0.3,1.0,0.9876469561717808,0.024570565821056562,10.0,3.0,4.0,20.0,-6.0,-7.0,9.5,10.0,3.0,5.0,-40.5,-27.0,15.0,75.0,-50.0,-80.0,-45.0,-30.0,-35.0,-47.0,-39.0,0.0014100005358658036,0.02
0.2516801594165189,1.0,0.08269946601387708,3.981882169273048e-05,-0.007834747472707439,-0.009792415539138281,0.661914,0.02567128771096192,0.01213672613685035,0.0002574375155162538,-71.79342816451343,-90.0,-70.0,55.0,0.20351646455268246,1.4,6.0,0.05,35.0,0.3,1.0,0.9875419601093697,0.024571249607886172,10.0,3.0,4.0,20.0,-6.0,-7.0,9.5,10.0,3.0,5.0,-40.5,-27.0,15.0,75.0,-50.0,-80.0,-45.0,-30.0,-35.0,-47.0,-39.0,0.0014100011766589584,0.03
0.2517423727427199,1.0,0.08279066879428486,3.983939889262387e-05,-0.007849674165333498,-0.009813485457972643,0.661914,0.025680618449091898,0.012145066091428127,0.00025800487500605925,-71.78682211905458,-90.0,-70.0,55.0,0.20351604879000926,1.4,6.0,0.05,35.0,0.3,1.0,0.9874379662206629,0.024572194786853588,10.0,3.0,4.0,20.0,-6.0,-7.0,9.5,10.0,3.0,5.0,-40.5,-27.0,15.0,75.0,-50.0,-80.0,-45.0,-30.0,-35.0,-47.0,-39.0,0.001410002066468526,0.04
0.25180455909006666,1.0,0.08288185328411968,3.98616393200754e-05,-0.00786462749927461,-0.009834588042794334,0.661914,0.02568994817310059,0.01215340671809876,0.00025857314443265426,-71.78022002082233,-90.0,-70.0,55.0,0.20351551470981416,1.4,6.0,0.05,35.0,0.3,1.0,0.9873349625713279,0.024573396837755477,10.0,3.0,4.0,20.0,-6.0,-7.0,9.5,10.0,3.0,5.0,-40.5,-27.0,15.0,75.0,-50.0,-80.0,-45.0,-30.0,-35.0,-47.0,-39.0,0.001410003205442664,0.05
0.251866718465251,1.0,0.08297301936773448,3.9885516843481826e-05,-0.007879607434064162,-0.009855723318258297,0.661914,0.025699276894449365,0.012161748013926813,0.00025914232453899693,-71.77362186707253,-90.0,-70.0,55.0,0.2035148625396168,1.4,6.0,0.05,35.0,0.3,1.0,0.9872329374346742,0.024574851343018053,10.0,3.0,4.0,20.0,-6.0,-7.0,9.5,10.0,3.0,5.0,-40.5,-27.0,15.0,75.0,-50.0,-80.0,-45.0,-30.0,-35.0,-47.0,-39.0,0.0014100045937278942,0.06
0.2519288508749812,1.0,0.08306416692948526,3.9911005987784526e-05,-0.007894613929934768,-0.009876891308998475,0.661914,0.02570860462457946,0.012170089975979454,0.0002597124160675241,-71.76702765506245,-90.0,-70.0,55.0,0.20351409250615943,1.4,6.0,0.05,35.0,0.3,1.0,0.9871318792517453,0.024576553972200706,10.0,3.0,4.0,20.0,-6.0,-7.0,9.5,10.0,3.0,5.0,-40.5,-27.0,15.0,75.0,-50.0,-80.0,-45.0,-30.0,-35.0,-47.0,-39.0,0.0014100062314698538,0.07
0.25199095632599056,1.0,0.08315529585390805,3.99380818685294e-05,-0.00790964694763081,-0.00989809203963062,0.661914,0.02571793137492804,0.012178432601327657,0.00026028341976022727,-71.7604373820498,-90.0,-70.0,55.0,0.20351320483581178,1.4,6.0,0.05,35.0,0.3,1.0,0.987031776606271,0.024578500472879235,10.0,3.0,4.0,20.0,-6.0,-7.0,9.5,10.0,3.0,5.0,-40.5,-27.0,15.0,75.0,-50.0,-80.0,-45.0,-30.0,-35.0,-47.0,-39.0,0.0014100081188141054,0.08
0.2520530348250397,1.0,0.08324640602574676,3.996672018710576e-05,-0.007924706448416106,-0.009919325534753184,0.661914,0.02572725715693096,0.01218677588704652,0.00026085533635867577,-71.75385104529256,-90.0,-70.0,55.0,0.20351219975463122,1.4,6.0,0.05,35.0,0.3,1.0,0.9869326182244301,0.024580686670910092,10.0,3.0,4.0,20.0,-6.0,-7.0,9.5,10.0,3.0,5.0,-40.5,-27.0,15.0,75.0,-50.0,-80.0,-45.0,-30.0,-35.0,-47.0,-39.0,0.0014100102559062705,0.09
